prefecture,city,title,category,amount,condition,desc,period,contact
東京都,八王子市,自転車ヘルメット購入補助,安全,最大2000円,usesBike,SGマーク付ヘルメット購入時に適用,令和8年3月31日まで,八王子市 道路・交通安全課
東京都,八王子市,おむつ専用ごみ袋の無料配布,子育て,ごみ袋 年数冊,hasChildren,3歳未満の子供がいる家庭に指定袋を配布,通年（3歳まで毎年申請）,八王子市 子育て支援課
東京都,八王子市,居住環境整備補助金,住まい,最大100万円,ownsHome,耐震・バリアフリー・断熱改修などの工事に,令和8年2月28日まで,八王子市 建築指導課
東京都,八王子市,物価高騰対応子育て手当,子育て,2万円/人,hasChildren,18歳以下の子供1人につき2万円を支給する臨時給付金,令和8年6月30日まで,八王子市 子ども家庭部 給付金係
東京都,八王子市,省エネ家電買い替え補助,エコ,最大3万円,all,古い冷蔵庫やエアコンを省エネ型に替えると支給,令和8年1月31日まで,八王子市 環境部 省エネ推進課
東京都,新宿区,電動自転車購入補助,エコ,最大3万円,usesBike,子乗せ電動アシスト自転車の購入費を助成。都の補助と合算可,令和8年3月31日まで,新宿区 環境・エネルギー課
東京都,新宿区,子育て世帯への家賃補助,住まい,月最大2万円,hasChildren,18歳以下の子供がいる世帯の家賃を最長2年間補助,令和8年3月31日まで,新宿区 住宅課
東京都,新宿区,特定不妊治療費助成,子育て,最大30万円,all,体外受精・顕微授精等の費用を一部助成,通年,新宿区 健康部 母子保健課
東京都,世田谷区,子育て応援券,子育て,最大8万円相当,hasChildren,未就学児のいる家庭に子育てサービス利用券を配布,通年,世田谷区 子ども・若者部
東京都,世田谷区,住宅改良工事費助成,住まい,最大200万円,ownsHome,バリアフリー・耐震・断熱など幅広いリフォームに対応,令和8年3月31日まで,世田谷区 建築安全課
東京都,世田谷区,高齢者住宅改修費助成,住まい,最大18万円,hasElderly,65歳以上の高齢者がいる世帯の手すり設置等に助成,通年,世田谷区 高齢福祉部
東京都,練馬区,保育料軽減補助,子育て,月最大2.5万円,hasChildren,認可外保育施設の利用料を軽減,通年,練馬区 子育て支援課
東京都,練馬区,電動自転車購入補助,エコ,最大5万円,all,一般電動アシスト自転車にも対応。都の補助と合算可,令和8年3月31日まで,練馬区 環境課
東京都,江東区,プレミアム付き商品券,生活支援,額面15000円を10000円で購入,all,区内登録店舗で使えるプレミアム商品券を発行,令和8年1月中旬まで,江東区 産業観光課
東京都,江東区,こども医療費助成,子育て,医療費自己負担なし,hasChildren,18歳まで医療費が無料（所得制限なし）,通年,江東区 福祉課
東京都,町田市,自転車ヘルメット購入補助,安全,最大2000円,usesBike,SGマーク付きヘルメット購入費を助成,令和8年3月31日まで,町田市 道路交通課
東京都,町田市,子育て世帯引越し費用補助,子育て,最大10万円,hasChildren,小学校入学前の子供がいる世帯の市内転入に,令和8年3月31日まで,町田市 子育て推進課
東京都,立川市,省エネ機器設置補助,エコ,最大20万円,ownsHome,太陽光パネル・蓄電池・エコキュートなどの設置に,令和8年2月28日まで,立川市 環境課
東京都,立川市,福祉用具購入費助成,福祉,最大10万円,hasElderly,65歳以上または障害者のいる世帯の福祉用具購入に,通年,立川市 高齢介護課
埼玉県,さいたま市,自転車ヘルメット購入補助,安全,最大2000円,usesBike,全年齢対象。自転車保険加入も条件,令和8年3月31日まで,さいたま市 交通政策課
埼玉県,さいたま市,子育て家庭住宅リフォーム補助,住まい,最大30万円,hasChildren,18歳以下の子供がいる世帯のリフォームに,令和8年3月31日まで,さいたま市 住宅政策課
埼玉県,さいたま市,省エネ家電買い替え補助,エコ,最大2万円,all,省エネ基準適合エアコン・冷蔵庫の購入に助成,令和8年1月31日まで,さいたま市 環境局
埼玉県,さいたま市,妊婦健診費用助成,子育て,14回分の費用を全額助成,hasChildren,妊娠届提出世帯に受診票を交付,通年,さいたま市 母子保健課
埼玉県,川口市,子育て応援交通費補助,子育て,月最大5000円,hasChildren,未就学児の通院・習い事などの交通費を補助,令和8年3月31日まで,川口市 子育て支援課
埼玉県,川口市,住宅耐震診断費補助,住まい,診断費無料,ownsHome,昭和56年以前に建築した木造住宅の耐震診断を無料実施,通年,川口市 建築審査課
埼玉県,川口市,ごみ処理費用補助（粗大ごみ減免）,生活支援,処理費半額,all,生活困窮世帯・高齢者世帯のごみ処理費を減免,通年,川口市 廃棄物対策課
埼玉県,川越市,観光農業体験補助,ユニーク,1家族2000円,hasChildren,川越市内の農業体験施設利用料を補助,令和8年3月31日まで,川越市 農業振興課
埼玉県,川越市,移住促進補助金,ユニーク,最大50万円,all,東京都内からの転入世帯に引越し費用等を補助,令和8年3月31日まで,川越市 都市計画課
埼玉県,所沢市,子ども医療費助成,子育て,医療費自己負担なし,hasChildren,18歳まで医療費窓口負担をゼロに,通年,所沢市 子育て支援課
埼玉県,所沢市,電動アシスト自転車購入補助,エコ,最大3万円,usesBike,通勤・通学用も対象。市内販売店で購入が条件,令和8年2月28日まで,所沢市 環境課
埼玉県,越谷市,新婚世帯家賃補助,生活支援,月最大1万円（最長2年）,all,婚姻から2年以内の新婚夫婦の家賃を補助,令和8年3月31日まで,越谷市 住宅政策課
埼玉県,熊谷市,移住促進助成金,ユニーク,最大100万円,all,東京圏から熊谷市へ移住し就業または起業した世帯に,令和8年3月31日まで,熊谷市 政策局 移住定住推進室
神奈川県,横浜市,こどもの医療費助成,子育て,医療費自己負担なし,hasChildren,中学3年生まで医療費を助成,通年,横浜市 こども青少年局
神奈川県,横浜市,省エネ機器購入費補助,エコ,最大25万円,ownsHome,太陽光パネル・蓄電池・省エネ給湯器の導入に,令和8年3月31日まで,横浜市 資源循環局
神奈川県,横浜市,木造住宅耐震改修費補助,住まい,最大100万円,ownsHome,昭和56年以前木造住宅の耐震改修工事に,令和8年2月28日まで,横浜市 建築局 建築安全課
神奈川県,横浜市,自転車ヘルメット購入補助,安全,最大2000円,usesBike,小学生〜高校生を優先対象。SGマーク付きが条件,令和8年3月31日まで,横浜市 道路局 交通安全・自転車政策課
神奈川県,川崎市,子育て応援パスポート,子育て,各店舗の割引・特典,hasChildren,18歳未満の子供がいる家庭に協賛店でのサービスを提供,通年,川崎市 こども未来局
神奈川県,川崎市,省エネ住宅改修費補助,エコ,最大30万円,ownsHome,断熱工事・窓改修など省エネリフォームに,令和8年1月31日まで,川崎市 まちづくり局
神奈川県,川崎市,不育症治療費助成,子育て,最大30万円/年,all,2回以上流産・死産を経験した夫婦への治療費補助,通年,川崎市 健康福祉局 母子保健課
神奈川県,相模原市,移住促進補助,ユニーク,最大50万円,all,東京都心から相模原市へ移住した世帯に引越し費用等を補助,令和8年3月31日まで,相模原市 政策局 移住定住推進課
神奈川県,相模原市,障害者住宅改修費補助,福祉,最大18万円,hasElderly,障害者・高齢者の日常生活を支える住宅改修に,通年,相模原市 福祉局
神奈川県,藤沢市,電動自転車購入補助,エコ,最大3万円,usesBike,通勤・通学・買い物用の電動アシスト自転車に,令和8年2月28日まで,藤沢市 環境部 環境課
神奈川県,藤沢市,子育て世帯保育料軽減,子育て,月最大3万円軽減,hasChildren,認可外保育施設を利用する2歳以下の子供がいる世帯,通年,藤沢市 子ども青少年部
神奈川県,横須賀市,空き家リフォーム補助,住まい,最大100万円,ownsHome,市内の空き家を購入してリフォームする場合に補助,令和8年3月31日まで,横須賀市 都市部 住宅政策課
神奈川県,横須賀市,高齢者外出支援タクシー券,福祉,年最大24000円分,hasElderly,70歳以上の高齢者にタクシー利用券を配布,通年,横須賀市 福祉部
神奈川県,平塚市,結婚新生活支援補助,生活支援,最大30万円,all,婚姻から1年以内の新婚世帯の住宅費・引越し費用に,令和8年3月31日まで,平塚市 企画政策部
